Check failed for (fp32): alpha = -4.81292; beta = -1.20323; diff = 8.940697e-08; -766/1000
Check failed for (fp32): alpha = -4.800354; beta = -1.200088; diff = 1.192093e-07; -764/1000
Check failed for (fp32): alpha = -4.794071; beta = -1.198518; diff = 1.192093e-07; -763/1000
Check failed for (fp32): alpha = -4.787787; beta = -1.196947; diff = 2.384186e-07; -762/1000
Check failed for (fp32): alpha = -4.781504; beta = -1.195376; diff = 1.788139e-07; -761/1000
Check failed for (fp32): alpha = -4.768938; beta = -1.192234; diff = 1.192093e-07; -759/1000
Check failed for (fp32): alpha = -4.762655; beta = -1.190664; diff = 1.490116e-07; -758/1000
Check failed for (fp32): alpha = -4.756371; beta = -1.189093; diff = 2.384186e-07; -757/1000
Check failed for (fp32): alpha = -4.750088; beta = -1.187522; diff = 1.192093e-07; -756/1000
Check failed for (fp32): alpha = -4.731239; beta = -1.18281; diff = 1.788139e-07; -753/1000
Check failed for (fp32): alpha = -4.724956; beta = -1.181239; diff = 2.980232e-07; -752/1000
Check failed for (fp32): alpha = -4.718672; beta = -1.179668; diff = 1.490116e-07; -751/1000
Check failed for (fp32): alpha = -4.699823; beta = -1.174956; diff = 1.490116e-07; -748/1000
Check failed for (fp32): alpha = -4.69354; beta = -1.173385; diff = 2.980232e-07; -747/1000
Check failed for (fp32): alpha = -4.687256; beta = -1.171814; diff = 1.490116e-07; -746/1000
Check failed for (fp32): alpha = -4.668406; beta = -1.167102; diff = 2.980232e-07; -743/1000
Check failed for (fp32): alpha = -4.662124; beta = -1.165531; diff = 2.682209e-07; -742/1000
Check failed for (fp32): alpha = -4.65584; beta = -1.16396; diff = 1.192093e-07; -741/1000
Check failed for (fp32): alpha = -4.649557; beta = -1.162389; diff = 5.960464e-08; -740/1000
Check failed for (fp32): alpha = -4.636991; beta = -1.159248; diff = 2.384186e-07; -738/1000
Check failed for (fp32): alpha = -4.630708; beta = -1.157677; diff = 3.576279e-07; -737/1000
Check failed for (fp32): alpha = -4.624424; beta = -1.156106; diff = 1.788139e-07; -736/1000
Check failed for (fp32): alpha = -4.618142; beta = -1.154535; diff = 1.192093e-07; -735/1000
Check failed for (fp32): alpha = -4.605575; beta = -1.151394; diff = 3.576279e-07; -733/1000
Check failed for (fp32): alpha = -4.599292; beta = -1.149823; diff = 3.576279e-07; -732/1000
Check failed for (fp32): alpha = -4.593009; beta = -1.148252; diff = 1.788139e-07; -731/1000
Check failed for (fp32): alpha = -4.586726; beta = -1.146681; diff = 1.192093e-07; -730/1000
Check failed for (fp32): alpha = -4.580442; beta = -1.14511; diff = 2.384186e-07; -729/1000
Check failed for (fp32): alpha = -4.574159; beta = -1.14354; diff = 1.788139e-07; -728/1000
Check failed for (fp32): alpha = -4.567876; beta = -1.141969; diff = 3.576279e-07; -727/1000
Check failed for (fp32): alpha = -4.561593; beta = -1.140398; diff = 1.788139e-07; -726/1000
Check failed for (fp32): alpha = -4.55531; beta = -1.138827; diff = 1.788139e-07; -725/1000
Check failed for (fp32): alpha = -4.549026; beta = -1.137257; diff = 1.788139e-07; -724/1000
Check failed for (fp32): alpha = -4.542743; beta = -1.135686; diff = 1.788139e-07; -723/1000
Check failed for (fp32): alpha = -4.53646; beta = -1.134115; diff = 2.980232e-07; -722/1000
Check failed for (fp32): alpha = -4.530177; beta = -1.132544; diff = 2.384186e-07; -721/1000
Check failed for (fp32): alpha = -4.523894; beta = -1.130973; diff = 1.788139e-07; -720/1000
Check failed for (fp32): alpha = -4.51761; beta = -1.129403; diff = 1.788139e-07; -719/1000
Check failed for (fp32): alpha = -4.511327; beta = -1.127832; diff = 2.384186e-07; -718/1000
Check failed for (fp32): alpha = -4.505044; beta = -1.126261; diff = 3.576279e-07; -717/1000
Check failed for (fp32): alpha = -4.498761; beta = -1.12469; diff = 1.192093e-07; -716/1000
Check failed for (fp32): alpha = -4.486194; beta = -1.121549; diff = 1.788139e-07; -714/1000
Check failed for (fp32): alpha = -4.479911; beta = -1.119978; diff = 1.192093e-07; -713/1000
Check failed for (fp32): alpha = -4.473628; beta = -1.118407; diff = 3.576279e-07; -712/1000
Check failed for (fp32): alpha = -4.467345; beta = -1.116836; diff = 4.172325e-07; -711/1000
Check failed for (fp32): alpha = -4.461061; beta = -1.115265; diff = 5.960464e-08; -710/1000
Check failed for (fp32): alpha = -4.454779; beta = -1.113695; diff = 5.960464e-08; -709/1000
Check failed for (fp32): alpha = -4.448495; beta = -1.112124; diff = 1.788139e-07; -708/1000
Check failed for (fp32): alpha = -4.442212; beta = -1.110553; diff = 4.172325e-07; -707/1000
Check failed for (fp32): alpha = -4.435929; beta = -1.108982; diff = 2.980232e-07; -706/1000
Check failed for (fp32): alpha = -4.429646; beta = -1.107411; diff = 5.960464e-08; -705/1000
Check failed for (fp32): alpha = -4.417079; beta = -1.10427; diff = 2.980232e-07; -703/1000
Check failed for (fp32): alpha = -4.410796; beta = -1.102699; diff = 5.364418e-07; -702/1000
Check failed for (fp32): alpha = -4.404513; beta = -1.101128; diff = 1.788139e-07; -701/1000
Check failed for (fp32): alpha = -4.385664; beta = -1.096416; diff = 2.384186e-07; -698/1000
Check failed for (fp32): alpha = -4.37938; beta = -1.094845; diff = 4.768372e-07; -697/1000
Check failed for (fp32): alpha = -4.373097; beta = -1.093274; diff = 3.576279e-07; -696/1000
Check failed for (fp32): alpha = -4.354248; beta = -1.088562; diff = 2.384186e-07; -693/1000
Check failed for (fp32): alpha = -4.347964; beta = -1.086991; diff = 4.768372e-07; -692/1000
Check failed for (fp32): alpha = -4.341681; beta = -1.08542; diff = 3.576279e-07; -691/1000
Check failed for (fp32): alpha = -4.335398; beta = -1.08385; diff = 3.576279e-07; -690/1000
Check failed for (fp32): alpha = -4.322832; beta = -1.080708; diff = 4.768372e-07; -688/1000
Check failed for (fp32): alpha = -4.316548; beta = -1.079137; diff = 4.768372e-07; -687/1000
Check failed for (fp32): alpha = -4.310265; beta = -1.077566; diff = 2.384186e-07; -686/1000
Check failed for (fp32): alpha = -4.303982; beta = -1.075996; diff = 2.384186e-07; -685/1000
Check failed for (fp32): alpha = -4.291416; beta = -1.072854; diff = 3.576279e-07; -683/1000
