Check failed for (fp32): alpha = -2.180265; diff1 = 1.639904; diff2 = 5.960464e-08; -347/1000
Check failed for (fp32): alpha = -2.167699; diff1 = 1.654161; diff2 = 5.960464e-08; -345/1000
Check failed for (fp32): alpha = -2.148849; diff1 = 1.675056; diff2 = 5.960464e-08; -342/1000
Check failed for (fp32): alpha = -2.136283; diff1 = 1.688656; diff2 = 5.960464e-08; -340/1000
Check failed for (fp32): alpha = -2.13; diff1 = 1.695356; diff2 = 5.960464e-08; -339/1000
Check failed for (fp32): alpha = -2.086018; diff1 = 1.740367; diff2 = 5.960464e-08; -332/1000
Check failed for (fp32): alpha = -2.048318; diff1 = 1.776273; diff2 = 5.960464e-08; -326/1000
Check failed for (fp32): alpha = -2.016903; diff1 = 1.804268; diff2 = 5.960464e-08; -321/1000
Check failed for (fp32): alpha = -2.010619; diff1 = 1.809654; diff2 = 5.960464e-08; -320/1000
Check failed for (fp32): alpha = -1.998053; diff1 = 1.820212; diff2 = 5.960464e-08; -318/1000
Check failed for (fp32): alpha = -1.985487; diff1 = 1.830482; diff2 = 5.960464e-08; -316/1000
Check failed for (fp32): alpha = -1.966637; diff1 = 1.845345; diff2 = 5.960464e-08; -313/1000
Check failed for (fp32): alpha = -1.960354; diff1 = 1.850154; diff2 = 5.960464e-08; -312/1000
Check failed for (fp32): alpha = -1.947788; diff1 = 1.859553; diff2 = 5.960464e-08; -310/1000
Check failed for (fp32): alpha = -1.941504; diff1 = 1.864142; diff2 = 5.960464e-08; -309/1000
Check failed for (fp32): alpha = -1.928938; diff1 = 1.8731; diff2 = 5.960464e-08; -307/1000
Check failed for (fp32): alpha = -1.903805; diff1 = 1.890126; diff2 = 5.960464e-08; -303/1000
Check failed for (fp32): alpha = -1.866106; diff1 = 1.913424; diff2 = 5.960464e-08; -297/1000
Check failed for (fp32): alpha = -1.840973; diff1 = 1.927447; diff2 = 5.960464e-08; -293/1000
Check failed for (fp32): alpha = -1.83469; diff1 = 1.930763; diff2 = 5.960464e-08; -292/1000
Check failed for (fp32): alpha = -1.803274; diff1 = 1.946197; diff2 = 5.960464e-08; -287/1000
Check failed for (fp32): alpha = -1.790708; diff1 = 1.951833; diff2 = 5.960464e-08; -285/1000
Check failed for (fp32): alpha = -1.784425; diff1 = 1.954536; diff2 = 5.960464e-08; -284/1000
Check failed for (fp32): alpha = -1.771858; diff1 = 1.95971; diff2 = 5.960464e-08; -282/1000
Check failed for (fp32): alpha = -1.765575; diff1 = 1.962181; diff2 = 5.960464e-08; -281/1000
Check failed for (fp32): alpha = -1.753009; diff1 = 1.96689; diff2 = 5.960464e-08; -279/1000
Check failed for (fp32): alpha = -1.734159; diff1 = 1.973372; diff2 = 5.960464e-08; -276/1000
Check failed for (fp32): alpha = -1.727876; diff1 = 1.975377; diff2 = 5.960464e-08; -275/1000
Check failed for (fp32): alpha = -1.721593; diff1 = 1.977304; diff2 = 5.960464e-08; -274/1000
Check failed for (fp32): alpha = -1.702743; diff1 = 1.982615; diff2 = 5.960464e-08; -271/1000
Check failed for (fp32): alpha = -1.69646; diff1 = 1.984229; diff2 = 5.960464e-08; -270/1000
Check failed for (fp32): alpha = -1.677611; diff1 = 1.988601; diff2 = 5.960464e-08; -267/1000
Check failed for (fp32): alpha = -1.658761; diff1 = 1.992267; diff2 = 5.960464e-08; -264/1000
Check failed for (fp32): alpha = -1.639911; diff1 = 1.995225; diff2 = 1.192093e-07; -261/1000
Check failed for (fp32): alpha = -1.633628; diff1 = 1.996053; diff2 = 5.960464e-08; -260/1000
Check failed for (fp32): alpha = -1.627345; diff1 = 1.996803; diff2 = 5.960464e-08; -259/1000
Check failed for (fp32): alpha = -1.621062; diff1 = 1.997474; diff2 = 5.960464e-08; -258/1000
Check failed for (fp32): alpha = -1.614779; diff1 = 1.998066; diff2 = 5.960464e-08; -257/1000
Check failed for (fp32): alpha = -1.608496; diff1 = 1.998579; diff2 = 5.960464e-08; -256/1000
Check failed for (fp32): alpha = -1.602212; diff1 = 1.999013; diff2 = 5.960464e-08; -255/1000
Check failed for (fp32): alpha = -1.589646; diff1 = 1.999645; diff2 = 5.960464e-08; -253/1000
Check failed for (fp32): alpha = -1.583363; diff1 = 1.999842; diff2 = 5.960464e-08; -252/1000
Check failed for (fp32): alpha = -1.57708; diff1 = 1.999961; diff2 = 5.960464e-08; -251/1000
Check failed for (fp32): alpha = -1.564513; diff1 = 1.999961; diff2 = 5.960464e-08; -249/1000
Check failed for (fp32): alpha = -1.55823; diff1 = 1.999842; diff2 = 5.960464e-08; -248/1000
Check failed for (fp32): alpha = -1.551947; diff1 = 1.999645; diff2 = 5.960464e-08; -247/1000
Check failed for (fp32): alpha = -1.53938; diff1 = 1.999013; diff2 = 5.960464e-08; -245/1000
Check failed for (fp32): alpha = -1.533097; diff1 = 1.998579; diff2 = 5.960464e-08; -244/1000
Check failed for (fp32): alpha = -1.526814; diff1 = 1.998066; diff2 = 5.960464e-08; -243/1000
Check failed for (fp32): alpha = -1.520531; diff1 = 1.997474; diff2 = 5.960464e-08; -242/1000
Check failed for (fp32): alpha = -1.514248; diff1 = 1.996803; diff2 = 5.960464e-08; -241/1000
Check failed for (fp32): alpha = -1.507964; diff1 = 1.996053; diff2 = 5.960464e-08; -240/1000
Check failed for (fp32): alpha = -1.501681; diff1 = 1.995225; diff2 = 5.960464e-08; -239/1000
Check failed for (fp32): alpha = -1.489115; diff1 = 1.993332; diff2 = 5.960464e-08; -237/1000
Check failed for (fp32): alpha = -1.482832; diff1 = 1.992267; diff2 = 5.960464e-08; -236/1000
Check failed for (fp32): alpha = -1.463982; diff1 = 1.988602; diff2 = 5.960464e-08; -233/1000
Check failed for (fp32): alpha = -1.445133; diff1 = 1.984229; diff2 = 1.192093e-07; -230/1000
Check failed for (fp32): alpha = -1.438849; diff1 = 1.982615; diff2 = 5.960464e-08; -229/1000
Check failed for (fp32): alpha = -1.42; diff1 = 1.977304; diff2 = 5.960464e-08; -226/1000
Check failed for (fp32): alpha = -1.394867; diff1 = 1.969129; diff2 = 5.960464e-08; -222/1000
Check failed for (fp32): alpha = -1.382301; diff1 = 1.964575; diff2 = 5.960464e-08; -220/1000
Check failed for (fp32): alpha = -1.376018; diff1 = 1.962181; diff2 = 1.192093e-07; -219/1000
Check failed for (fp32): alpha = -1.344602; diff1 = 1.949054; diff2 = 5.960464e-08; -214/1000
Check failed for (fp32): alpha = -1.338318; diff1 = 1.946197; diff2 = 5.960464e-08; -213/1000
Check failed for (fp32): alpha = -1.325752; diff1 = 1.940253; diff2 = 5.960464e-08; -211/1000
Check failed for (fp32): alpha = -1.313186; diff1 = 1.934003; diff2 = 5.960464e-08; -209/1000
Check failed for (fp32): alpha = -1.300619; diff1 = 1.927447; diff2 = 5.960464e-08; -207/1000
Check failed for (fp32): alpha = -1.275487; diff1 = 1.913424; diff2 = 5.960464e-08; -203/1000
Check failed for (fp32): alpha = -1.269204; diff1 = 1.909729; diff2 = 5.960464e-08; -202/1000
Check failed for (fp32): alpha = -1.237787; diff1 = 1.890126; diff2 = 5.960464e-08; -197/1000
Check failed for (fp32): alpha = -1.218938; diff1 = 1.877468; diff2 = 5.960464e-08; -194/1000
Check failed for (fp32): alpha = -1.206372; diff1 = 1.868658; diff2 = 5.960464e-08; -192/1000
Check failed for (fp32): alpha = -1.181239; diff1 = 1.850154; diff2 = 5.960464e-08; -188/1000
Check failed for (fp32): alpha = -1.174956; diff1 = 1.845345; diff2 = 5.960464e-08; -187/1000
Check failed for (fp32): alpha = -1.168673; diff1 = 1.840464; diff2 = 5.960464e-08; -186/1000
Check failed for (fp32): alpha = -1.162389; diff1 = 1.835509; diff2 = 5.960464e-08; -185/1000
Check failed for (fp32): alpha = -1.093274; diff1 = 1.776273; diff2 = 5.960464e-08; -174/1000
Check failed for (fp32): alpha = -1.074425; diff1 = 1.758633; diff2 = 5.960464e-08; -171/1000
Check failed for (fp32): alpha = -1.049292; diff1 = 1.734141; diff2 = 5.960464e-08; -167/1000
Check failed for (fp32): alpha = -1.043009; diff1 = 1.727847; diff2 = 5.960464e-08; -166/1000
Check failed for (fp32): alpha = -1.036726; diff1 = 1.721484; diff2 = 5.960464e-08; -165/1000
Check failed for (fp32): alpha = -1.030442; diff1 = 1.715053; diff2 = 5.960464e-08; -164/1000
Check failed for (fp32): alpha = -1.00531; diff1 = 1.688656; diff2 = 5.960464e-08; -160/1000
Check failed for (fp32): alpha = -0.9864601; diff1 = 1.668157; diff2 = 5.960464e-08; -157/1000
Check failed for (fp32): alpha = -0.9801769; diff1 = 1.661192; diff2 = 5.960464e-08; -156/1000
Check failed for (fp32): alpha = -0.9550442; diff1 = 1.632679; diff2 = 5.960464e-08; -152/1000
Check failed for (fp32): alpha = -0.948761; diff1 = 1.625388; diff2 = 5.960464e-08; -151/1000
Check failed for (fp32): alpha = -0.9361947; diff1 = 1.610616; diff2 = 5.960464e-08; -149/1000
Check failed for (fp32): alpha = -0.9299114; diff1 = 1.603134; diff2 = 5.960464e-08; -148/1000
Check failed for (fp32): alpha = -0.917345; diff1 = 1.587981; diff2 = 5.960464e-08; -146/1000
Check failed for (fp32): alpha = -0.8984956; diff1 = 1.564782; diff2 = 5.960464e-08; -143/1000
Check failed for (fp32): alpha = -0.8922124; diff1 = 1.556925; diff2 = 5.960464e-08; -142/1000
Check failed for (fp32): alpha = -0.8859292; diff1 = 1.549006; diff2 = 5.960464e-08; -141/1000
Check failed for (fp32): alpha = -0.8796459; diff1 = 1.541027; diff2 = 5.960464e-08; -140/1000
Check failed for (fp32): alpha = -0.8670796; diff1 = 1.524885; diff2 = 5.960464e-08; -138/1000
Check failed for (fp32): alpha = -0.8607964; diff1 = 1.516724; diff2 = 5.960464e-08; -137/1000
