Check failed for (fp64): x = -2.82115020292363; diff = 1.77635683940025e-15; -449/1000
Check failed for (fp64): x = -2.81486701761645; diff = 1.77635683940025e-15; -448/1000
Check failed for (fp64): x = -2.80858383230927; diff = 1.77635683940025e-15; -447/1000
Check failed for (fp64): x = -2.8023006470021; diff = 1.77635683940025e-15; -446/1000
Check failed for (fp64): x = -2.78345109108056; diff = 1.77635683940025e-15; -443/1000
Check failed for (fp64): x = -2.77716790577338; diff = 1.77635683940025e-15; -442/1000
Check failed for (fp64): x = -2.76460153515902; diff = 8.88178419700125e-16; -440/1000
Check failed for (fp64): x = -2.75203516454466; diff = 8.88178419700125e-16; -438/1000
Check failed for (fp64): x = -2.74575197923748; diff = 8.88178419700125e-16; -437/1000
Check failed for (fp64): x = -2.73318560862312; diff = 1.77635683940025e-15; -435/1000
Check failed for (fp64): x = -2.72690242331594; diff = 2.66453525910038e-15; -434/1000
Check failed for (fp64): x = -2.72061923800876; diff = 8.88178419700125e-16; -433/1000
Check failed for (fp64): x = -2.71433605270158; diff = 8.88178419700125e-16; -432/1000
Check failed for (fp64): x = -2.7080528673944; diff = 8.88178419700125e-16; -431/1000
Check failed for (fp64): x = -2.70176968208722; diff = 8.88178419700125e-16; -430/1000
Check failed for (fp64): x = -2.68920331147286; diff = 8.88178419700125e-16; -428/1000
Check failed for (fp64): x = -2.68292012616568; diff = 1.77635683940025e-15; -427/1000
Check failed for (fp64): x = -2.6766369408585; diff = 8.88178419700125e-16; -426/1000
Check failed for (fp64): x = -2.67035375555132; diff = 8.88178419700125e-16; -425/1000
Check failed for (fp64): x = -2.65778738493696; diff = 8.88178419700125e-16; -423/1000
Check failed for (fp64): x = -2.63893782901543; diff = 8.88178419700125e-16; -420/1000
Check failed for (fp64): x = -2.63265464370825; diff = 1.77635683940025e-15; -419/1000
Check failed for (fp64): x = -2.62637145840107; diff = 8.88178419700125e-16; -418/1000
Check failed for (fp64): x = -2.61380508778671; diff = 1.33226762955019e-15; -416/1000
Check failed for (fp64): x = -2.60752190247953; diff = 4.44089209850063e-16; -415/1000
Check failed for (fp64): x = -2.60123871717235; diff = 4.44089209850063e-16; -414/1000
