Check failed for (fp128): x = -4.737521721613408203601666221985490570e+00; diff = 1.925929944387235853055977942584927319e-34; -754/1000
Check failed for (fp128): x = -4.724955350999049030647815648452371998e+00; diff = 1.925929944387235853055977942584927319e-34; -752/1000
Check failed for (fp128): x = -4.699822609770330684740114501386136395e+00; diff = 1.925929944387235853055977942584927319e-34; -748/1000
Check failed for (fp128): x = -4.687256239155971511786263927853017823e+00; diff = 1.925929944387235853055977942584927319e-34; -746/1000
Check failed for (fp128): x = -4.599291644855457301109309913121192441e+00; diff = 1.925929944387235853055977942584927319e-34; -732/1000
Check failed for (fp128): x = -4.586725274241098128155459339588073869e+00; diff = 1.925929944387235853055977942584927319e-34; -730/1000
Check failed for (fp128): x = -4.580442088933918541678534052821514968e+00; diff = 1.925929944387235853055977942584927319e-34; -729/1000
Check failed for (fp128): x = -4.555309347705200195770832905755278594e+00; diff = 1.925929944387235853055977942584927319e-34; -725/1000
Check failed for (fp128): x = -4.549026162398020609293907618988719693e+00; diff = 1.925929944387235853055977942584927319e-34; -724/1000
Check failed for (fp128): x = -4.536459791783661436340057045455601892e+00; diff = 1.925929944387235853055977942584927319e-34; -722/1000
Check failed for (fp128): x = -4.517610235862122676909281185155925189e+00; diff = 1.925929944387235853055977942584927319e-34; -719/1000
Check failed for (fp128): x = -4.505043865247763503955430611622807388e+00; diff = 1.925929944387235853055977942584927319e-34; -717/1000
Check failed for (fp128): x = -4.486194309326224744524654751323129915e+00; diff = 1.925929944387235853055977942584927319e-34; -714/1000
Check failed for (fp128): x = -4.454778382790326812140028317490334640e+00; diff = 1.925929944387235853055977942584927319e-34; -709/1000
Check failed for (fp128): x = -4.417079270947249293278476596890981235e+00; diff = 1.925929944387235853055977942584927319e-34; -703/1000
Check failed for (fp128): x = -4.410796085640069706801551310124422334e+00; diff = 1.925929944387235853055977942584927319e-34; -702/1000
Check failed for (fp128): x = -4.360530603182633014986149015991949587e+00; diff = 1.925929944387235853055977942584927319e-34; -694/1000
Check failed for (fp128): x = -4.347964232568273842032298442458831785e+00; diff = 1.925929944387235853055977942584927319e-34; -692/1000
Check failed for (fp128): x = -4.316548306032375909647672008626037281e+00; diff = 1.925929944387235853055977942584927319e-34; -687/1000
Check failed for (fp128): x = -4.303981935418016736693821435092919480e+00; diff = 1.925929944387235853055977942584927319e-34; -685/1000
