Check failed for (fp128): alpha = 1.627344994559512897523649272538782277e+00; beta = 4.068362486398782243809123181346955691e-01; diff = 1.925929944387235853055977942584927319e-34; 259/1000
Check failed for (fp128): alpha = 1.652477735788231243431350419605018458e+00; beta = 4.131194339470578108578376049012546144e-01; diff = 1.925929944387235853055977942584927319e-34; 263/1000
Check failed for (fp128): alpha = 1.677610477016949589339051566671254639e+00; beta = 4.194026192542373973347628916678136597e-01; diff = 1.925929944387235853055977942584927319e-34; 267/1000
Check failed for (fp128): alpha = 1.683893662324129175815976853437813540e+00; beta = 4.209734155810322939539942133594533849e-01; diff = 1.925929944387235853055977942584927319e-34; 268/1000
Check failed for (fp128): alpha = 1.696460032938488348769827426970931534e+00; beta = 4.241150082346220871924568567427328834e-01; diff = 1.925929944387235853055977942584927319e-34; 270/1000
Check failed for (fp128): alpha = 1.702743218245667935246752713737490435e+00; beta = 4.256858045614169838116881784343726086e-01; diff = 1.925929944387235853055977942584927319e-34; 271/1000
Check failed for (fp128): alpha = 1.765575071317463800016005581403080598e+00; beta = 4.413937678293659500040013953507701496e-01; diff = 1.925929944387235853055977942584927319e-34; 281/1000
Check failed for (fp128): alpha = 1.778141441931822972969856154936198593e+00; beta = 4.445353604829557432424640387340496482e-01; diff = 1.925929944387235853055977942584927319e-34; 283/1000
Check failed for (fp128): alpha = 1.872389221539516770123735456434583453e+00; beta = 4.680973053848791925309338641086458633e-01; diff = 2.888894916580853779583966913877390978e-34; 298/1000
Check failed for (fp128): alpha = 1.928937889304133048416063037333614716e+00; beta = 4.822344723260332621040157593334036790e-01; diff = 1.925929944387235853055977942584927319e-34; 307/1000
Check failed for (fp128): alpha = 1.941504259918492221369913610866732903e+00; beta = 4.853760649796230553424784027166832257e-01; diff = 1.925929944387235853055977942584927319e-34; 309/1000
Check failed for (fp128): alpha = 1.960353815840030980800689471166409798e+00; beta = 4.900884539600077452001723677916024495e-01; diff = 1.925929944387235853055977942584927319e-34; 312/1000
Check failed for (fp128): alpha = 2.010619298297467672616091765298881775e+00; beta = 5.026548245743669181540229413247204437e-01; diff = 1.925929944387235853055977942584927319e-34; 320/1000
Check failed for (fp128): alpha = 2.035752039526186018523792912365117763e+00; beta = 5.089380098815465046309482280912794409e-01; diff = 1.925929944387235853055977942584927319e-34; 324/1000
Check failed for (fp128): alpha = 2.073451151369263537385344632964471939e+00; beta = 5.183627878423158843463361582411179847e-01; diff = 1.925929944387235853055977942584927319e-34; 330/1000
Check failed for (fp128): alpha = 2.199114857512855266923850368295651881e+00; beta = 5.497787143782138167309625920739129703e-01; diff = 1.925929944387235853055977942584927319e-34; 350/1000
