Check failed for (fp64): alpha = -4.62442438608418; beta = -1.15610609652104; diff = 1.11022302462516e-16; -736/1000
Check failed for (fp64): alpha = -4.5867252742411; beta = -1.14668131856027; diff = 1.11022302462516e-16; -730/1000
Check failed for (fp64): alpha = -4.58044208893392; beta = -1.14511052223348; diff = 1.11022302462516e-16; -729/1000
Check failed for (fp64): alpha = -4.57415890362674; beta = -1.14353972590668; diff = 1.11022302462516e-16; -728/1000
Check failed for (fp64): alpha = -4.56787571831956; beta = -1.14196892957989; diff = 1.11022302462516e-16; -727/1000
Check failed for (fp64): alpha = -4.56159253301238; beta = -1.14039813325309; diff = 1.11022302462516e-16; -726/1000
Check failed for (fp64): alpha = -4.5553093477052; beta = -1.1388273369263; diff = 1.11022302462516e-16; -725/1000
Check failed for (fp64): alpha = -4.53645979178366; beta = -1.13411494794592; diff = 1.11022302462516e-16; -722/1000
Check failed for (fp64): alpha = -4.5238934211693; beta = -1.13097335529233; diff = 1.11022302462516e-16; -720/1000
Check failed for (fp64): alpha = -4.50504386524776; beta = -1.12626096631194; diff = 1.11022302462516e-16; -717/1000
Check failed for (fp64): alpha = -4.4924774946334; beta = -1.12311937365835; diff = 1.11022302462516e-16; -715/1000
Check failed for (fp64): alpha = -4.47991112401904; beta = -1.11997778100476; diff = 1.11022302462516e-16; -713/1000
Check failed for (fp64): alpha = -4.47362793871187; beta = -1.11840698467797; diff = 1.11022302462516e-16; -712/1000
Check failed for (fp64): alpha = -4.44221201217597; beta = -1.11055300304399; diff = 1.11022302462516e-16; -707/1000
Check failed for (fp64): alpha = -4.40451290033289; beta = -1.10112822508322; diff = 1.11022302462516e-16; -701/1000
Check failed for (fp64): alpha = -4.39822971502571; beta = -1.09955742875643; diff = 1.11022302462516e-16; -700/1000
Check failed for (fp64): alpha = -4.39194652971853; beta = -1.09798663242963; diff = 1.11022302462516e-16; -699/1000
Check failed for (fp64): alpha = -4.38566334441135; beta = -1.09641583610284; diff = 1.11022302462516e-16; -698/1000
Check failed for (fp64): alpha = -4.37938015910417; beta = -1.09484503977604; diff = 1.11022302462516e-16; -697/1000
