Check failed for (fp64): alpha = -4.10292000558827; beta = -1.02573000139707; diff = 2.22044604925031e-16; -653/1000
Check failed for (fp64): alpha = -4.09663682028109; beta = -1.02415920507027; diff = 2.22044604925031e-16; -652/1000
Check failed for (fp64): alpha = -4.08407044966673; beta = -1.02101761241668; diff = 2.22044604925031e-16; -650/1000
Check failed for (fp64): alpha = -4.07778726435955; beta = -1.01944681608989; diff = 2.22044604925031e-16; -649/1000
Check failed for (fp64): alpha = -4.05265452313083; beta = -1.01316363078271; diff = 2.22044604925031e-16; -645/1000
Check failed for (fp64): alpha = -4.04008815251647; beta = -1.01002203812912; diff = 2.22044604925031e-16; -643/1000
Check failed for (fp64): alpha = -4.02123859659494; beta = -1.00530964914873; diff = 2.22044604925031e-16; -640/1000
Check failed for (fp64): alpha = -4.01495541128776; beta = -1.00373885282194; diff = 2.22044604925031e-16; -639/1000
Check failed for (fp64): alpha = -3.95840674352314; beta = -0.989601685880785; diff = 2.22044604925031e-16; -630/1000
Check failed for (fp64): alpha = -3.95212355821596; beta = -0.98803088955399; diff = 2.22044604925031e-16; -629/1000
Check failed for (fp64): alpha = -3.94584037290878; beta = -0.986460093227195; diff = 2.22044604925031e-16; -628/1000
Check failed for (fp64): alpha = -3.9395571876016; beta = -0.9848892969004; diff = 2.22044604925031e-16; -627/1000
Check failed for (fp64): alpha = -3.93327400229442; beta = -0.983318500573605; diff = 4.44089209850063e-16; -626/1000
Check failed for (fp64): alpha = -3.92699081698724; beta = -0.98174770424681; diff = 2.22044604925031e-16; -625/1000
Check failed for (fp64): alpha = -3.92070763168006; beta = -0.980176907920015; diff = 2.22044604925031e-16; -624/1000
Check failed for (fp64): alpha = -3.91442444637288; beta = -0.978606111593221; diff = 6.66133814775094e-16; -623/1000
Check failed for (fp64): alpha = -3.9081412610657; beta = -0.977035315266426; diff = 2.22044604925031e-16; -622/1000
Check failed for (fp64): alpha = -3.90185807575852; beta = -0.975464518939631; diff = 2.22044604925031e-16; -621/1000
Check failed for (fp64): alpha = -3.89557489045134; beta = -0.973893722612836; diff = 4.44089209850063e-16; -620/1000
Check failed for (fp64): alpha = -3.88929170514416; beta = -0.972322926286041; diff = 2.22044604925031e-16; -619/1000
Check failed for (fp64): alpha = -3.88300851983698; beta = -0.970752129959246; diff = 1.11022302462516e-15; -618/1000
Check failed for (fp64): alpha = -3.8767253345298; beta = -0.969181333632451; diff = 2.22044604925031e-16; -617/1000
Check failed for (fp64): alpha = -3.87044214922263; beta = -0.967610537305656; diff = 2.22044604925031e-16; -616/1000
Check failed for (fp64): alpha = -3.86415896391545; beta = -0.966039740978861; diff = 2.22044604925031e-16; -615/1000
Check failed for (fp64): alpha = -3.85787577860827; beta = -0.964468944652066; diff = 4.44089209850063e-16; -614/1000
Check failed for (fp64): alpha = -3.85159259330109; beta = -0.962898148325272; diff = 6.66133814775094e-16; -613/1000
Check failed for (fp64): alpha = -3.84530940799391; beta = -0.961327351998477; diff = 6.66133814775094e-16; -612/1000
Check failed for (fp64): alpha = -3.83902622268673; beta = -0.959756555671682; diff = 4.44089209850063e-16; -611/1000
Check failed for (fp64): alpha = -3.83274303737955; beta = -0.958185759344887; diff = 2.22044604925031e-16; -610/1000
Check failed for (fp64): alpha = -3.82645985207237; beta = -0.956614963018092; diff = 1.33226762955019e-15; -609/1000
Check failed for (fp64): alpha = -3.82017666676519; beta = -0.955044166691297; diff = 4.44089209850063e-16; -608/1000
Check failed for (fp64): alpha = -3.81389348145801; beta = -0.953473370364502; diff = 1.11022302462516e-15; -607/1000
