Check failed for (fp32): alpha = -3.757345; diff1 = 1.192093e-07; diff2 = 1.415031; -598/1000
Check failed for (fp32): alpha = -3.751062; diff1 = 5.960464e-08; diff2 = 1.396258; -597/1000
Check failed for (fp32): alpha = -3.744779; diff1 = 1.192093e-07; diff2 = 1.377648; -596/1000
Check failed for (fp32): alpha = -3.738496; diff1 = 5.960464e-08; diff2 = 1.3592; -595/1000
Check failed for (fp32): alpha = -3.732212; diff1 = 5.960464e-08; diff2 = 1.340906; -594/1000
Check failed for (fp32): alpha = -3.725929; diff1 = 5.960464e-08; diff2 = 1.322768; -593/1000
Check failed for (fp32): alpha = -3.719646; diff1 = 5.960464e-08; diff2 = 1.304779; -592/1000
Check failed for (fp32): alpha = -3.713363; diff1 = 5.960464e-08; diff2 = 1.286937; -591/1000
Check failed for (fp32): alpha = -3.707079; diff1 = 1.192093e-07; diff2 = 1.269238; -590/1000
Check failed for (fp32): alpha = -3.68823; diff1 = 5.960464e-08; diff2 = 1.216976; -587/1000
Check failed for (fp32): alpha = -3.681947; diff1 = 5.960464e-08; diff2 = 1.199822; -586/1000
Check failed for (fp32): alpha = -3.675663; diff1 = 5.960464e-08; diff2 = 1.182797; -585/1000
Check failed for (fp32): alpha = -3.663097; diff1 = 5.960464e-08; diff2 = 1.149122; -583/1000
Check failed for (fp32): alpha = -3.650531; diff1 = 5.960464e-08; diff2 = 1.11593; -581/1000
Check failed for (fp32): alpha = -3.631681; diff1 = 5.960464e-08; diff2 = 1.067004; -578/1000
Check failed for (fp32): alpha = -3.625398; diff1 = 5.960464e-08; diff2 = 1.050915; -577/1000
Check failed for (fp32): alpha = -3.619115; diff1 = 5.960464e-08; diff2 = 1.03493; -576/1000
Check failed for (fp32): alpha = -3.593982; diff1 = 8.940697e-08; diff2 = 0.9720112; -572/1000
Check failed for (fp32): alpha = -3.56885; diff1 = 5.960464e-08; diff2 = 0.9106103; -568/1000
Check failed for (fp32): alpha = -3.55; diff1 = 8.940697e-08; diff2 = 0.8654774; -565/1000
Check failed for (fp32): alpha = -3.543717; diff1 = 8.940697e-08; diff2 = 0.8505985; -564/1000
Check failed for (fp32): alpha = -3.53115; diff1 = 5.960464e-08; diff2 = 0.8210754; -562/1000
Check failed for (fp32): alpha = -3.512301; diff1 = 1.192093e-07; diff2 = 0.7773558; -559/1000
Check failed for (fp32): alpha = -3.506018; diff1 = 5.960464e-08; diff2 = 0.7629265; -558/1000
Check failed for (fp32): alpha = -3.487168; diff1 = 1.192093e-07; diff2 = 0.7200447; -555/1000
Check failed for (fp32): alpha = -3.480885; diff1 = 5.960464e-08; diff2 = 0.7058814; -554/1000
Check failed for (fp32): alpha = -3.462035; diff1 = 5.960464e-08; diff2 = 0.6637611; -551/1000
Check failed for (fp32): alpha = -3.455752; diff1 = 1.490116e-07; diff2 = 0.64984; -550/1000
Check failed for (fp32): alpha = -3.449469; diff1 = 5.960464e-08; diff2 = 0.6359753; -549/1000
Check failed for (fp32): alpha = -3.443186; diff1 = 1.192093e-07; diff2 = 0.6221648; -548/1000
Check failed for (fp32): alpha = -3.424336; diff1 = 8.940697e-08; diff2 = 0.5810541; -545/1000
Check failed for (fp32): alpha = -3.418053; diff1 = 1.192093e-07; diff2 = 0.5674522; -544/1000
Check failed for (fp32): alpha = -3.41177; diff1 = 8.940697e-08; diff2 = 0.5538975; -543/1000
Check failed for (fp32): alpha = -3.405487; diff1 = 5.960464e-08; diff2 = 0.5403907; -542/1000
Check failed for (fp32): alpha = -3.399203; diff1 = 1.192093e-07; diff2 = 0.5269293; -541/1000
Check failed for (fp32): alpha = -3.39292; diff1 = 8.940697e-08; diff2 = 0.5135132; -540/1000
Check failed for (fp32): alpha = -3.386637; diff1 = 5.960464e-08; diff2 = 0.5001391; -539/1000
Check failed for (fp32): alpha = -3.380354; diff1 = 7.450581e-08; diff2 = 0.4868079; -538/1000
Check failed for (fp32): alpha = -3.361504; diff1 = 1.192093e-07; diff2 = 0.4470532; -535/1000
Check failed for (fp32): alpha = -3.355221; diff1 = 1.043081e-07; diff2 = 0.4338773; -534/1000
Check failed for (fp32): alpha = -3.348938; diff1 = 7.450581e-08; diff2 = 0.4207371; -533/1000
Check failed for (fp32): alpha = -3.342655; diff1 = 7.450581e-08; diff2 = 0.407632; -532/1000
Check failed for (fp32): alpha = -3.336372; diff1 = 8.940697e-08; diff2 = 0.3945603; -531/1000
Check failed for (fp32): alpha = -3.330088; diff1 = 1.639128e-07; diff2 = 0.3815201; -530/1000
Check failed for (fp32): alpha = -3.323805; diff1 = 1.490116e-07; diff2 = 0.3685125; -529/1000
Check failed for (fp32): alpha = -3.317522; diff1 = 8.940697e-08; diff2 = 0.3555339; -528/1000
Check failed for (fp32): alpha = -3.311239; diff1 = 5.960464e-08; diff2 = 0.3425851; -527/1000
Check failed for (fp32): alpha = -3.304956; diff1 = 1.639128e-07; diff2 = 0.3296638; -526/1000
Check failed for (fp32): alpha = -3.298672; diff1 = 5.960464e-08; diff2 = 0.3167686; -525/1000
Check failed for (fp32): alpha = -3.292389; diff1 = 1.937151e-07; diff2 = 0.3038998; -524/1000
Check failed for (fp32): alpha = -3.286106; diff1 = 7.450581e-08; diff2 = 0.2910558; -523/1000
Check failed for (fp32): alpha = -3.279823; diff1 = 1.192093e-07; diff2 = 0.2782349; -522/1000
Check failed for (fp32): alpha = -3.27354; diff1 = 2.086163e-07; diff2 = 0.2654363; -521/1000
Check failed for (fp32): alpha = -3.260973; diff1 = 1.117587e-07; diff2 = 0.2399018; -519/1000
Check failed for (fp32): alpha = -3.25469; diff1 = 6.705523e-08; diff2 = 0.2271645; -518/1000
Check failed for (fp32): alpha = -3.248407; diff1 = 2.756715e-07; diff2 = 0.2144448; -517/1000
Check failed for (fp32): alpha = -3.23584; diff1 = 3.352761e-07; diff2 = 0.1890558; -515/1000
Check failed for (fp32): alpha = -3.229557; diff1 = 2.831221e-07; diff2 = 0.1763841; -514/1000
Check failed for (fp32): alpha = -3.223274; diff1 = 4.172325e-07; diff2 = 0.1637279; -513/1000
Check failed for (fp32): alpha = -3.216991; diff1 = 5.960464e-08; diff2 = 0.1510835; -512/1000
Check failed for (fp32): alpha = -3.210708; diff1 = 5.662441e-07; diff2 = 0.13845; -511/1000
Check failed for (fp32): alpha = -3.198141; diff1 = 4.023314e-07; diff2 = 0.1132185; -509/1000
Check failed for (fp32): alpha = -3.191858; diff1 = 7.152557e-07; diff2 = 0.1006153; -508/1000
Check failed for (fp32): alpha = -3.179292; diff1 = 9.350479e-07; diff2 = 0.07543482; -506/1000
Check failed for (fp32): alpha = -3.173009; diff1 = 8.493662e-07; diff2 = 0.06285358; -505/1000
Check failed for (fp32): alpha = -3.166726; diff1 = 7.376075e-07; diff2 = 0.05027729; -504/1000
Check failed for (fp32): alpha = -3.160442; diff1 = 2.255663e-06; diff2 = 0.03770161; -503/1000
Check failed for (fp32): alpha = -3.154159; diff1 = 1.82353e-06; diff2 = 0.02513598; -502/1000
Check failed for (fp32): alpha = -3.147876; diff1 = 1.508743e-06; diff2 = 0.01256492; -501/1000
Check failed for (fp32): alpha = -3.141593; diff1 = 8.742278e-08; diff2 = 8.742278e-08; -500/1000
Check failed for (fp32): alpha = -3.13531; diff1 = 0.01256475; diff2 = 1.33412e-06; -499/1000
Check failed for (fp32): alpha = -3.129026; diff1 = 0.0251358; diff2 = 1.998618e-06; -498/1000
Check failed for (fp32): alpha = -3.122743; diff1 = 0.03770144; diff2 = 2.080575e-06; -497/1000
Check failed for (fp32): alpha = -3.11646; diff1 = 0.05027474; diff2 = 1.460314e-06; -496/1000
Check failed for (fp32): alpha = -3.110177; diff1 = 0.06285341; diff2 = 1.024455e-06; -495/1000
Check failed for (fp32): alpha = -3.103894; diff1 = 0.07543488; diff2 = 8.717179e-07; -494/1000
Check failed for (fp32): alpha = -3.09761; diff1 = 0.08802149; diff2 = 3.650784e-07; -493/1000
