Check failed for (fp64): alpha = -6.28318530717959; diff1 = inf; diff2 = inf; -1000/1000
Check failed for (fp64): alpha = -3.45575191894877; diff1 = 1.77635683940025e-15; diff2 = 6.1553670743505; -550/1000
Check failed for (fp64): alpha = -3.44946873364159; diff1 = 4.44089209850063e-16; diff2 = 6.28956056944832; -549/1000
Check failed for (fp64): alpha = -3.44318554833441; diff1 = 1.33226762955019e-15; diff2 = 6.42916415726805; -548/1000
Check failed for (fp64): alpha = -3.43061917772005; diff1 = 2.22044604925031e-15; diff2 = 6.72601409961438; -546/1000
Check failed for (fp64): alpha = -3.42433599241287; diff1 = 4.44089209850063e-16; diff2 = 6.88404515333844; -545/1000
Check failed for (fp64): alpha = -3.4180528071057; diff1 = 8.88178419700125e-16; diff2 = 7.04906283051452; -544/1000
Check failed for (fp64): alpha = -3.41176962179852; diff1 = 4.44089209850063e-16; diff2 = 7.22155485422932; -543/1000
Check failed for (fp64): alpha = -3.40548643649134; diff1 = 1.33226762955019e-15; diff2 = 7.40205539037455; -542/1000
Check failed for (fp64): alpha = -3.39920325118416; diff1 = 8.88178419700125e-16; diff2 = 7.59115071143755; -541/1000
Check failed for (fp64): alpha = -3.39292006587698; diff1 = 1.77635683940025e-15; diff2 = 7.78948570985971; -540/1000
Check failed for (fp64): alpha = -3.3866368805698; diff1 = 8.88178419700125e-16; diff2 = 7.99777141344894; -539/1000
Check failed for (fp64): alpha = -3.38035369526262; diff1 = 5.32907051820075e-15; diff2 = 8.21679368743541; -538/1000
Check failed for (fp64): alpha = -3.37407050995544; diff1 = 2.66453525910038e-15; diff2 = 8.4474233476705; -537/1000
Check failed for (fp64): alpha = -3.36778732464826; diff1 = 3.5527136788005e-15; diff2 = 8.69062795935785; -536/1000
Check failed for (fp64): alpha = -3.3552209540339; diff1 = 2.66453525910038e-15; diff2 = 9.21920141194784; -534/1000
Check failed for (fp64): alpha = -3.34893776872672; diff1 = 7.99360577730113e-15; diff2 = 9.50712623504502; -533/1000
Check failed for (fp64): alpha = -3.34265458341954; diff1 = 7.99360577730113e-15; diff2 = 9.81278001089745; -532/1000
Check failed for (fp64): alpha = -3.33637139811236; diff1 = 7.99360577730113e-15; diff2 = 10.137878727577; -531/1000
Check failed for (fp64): alpha = -3.33008821280518; diff1 = 7.105427357601e-15; diff2 = 10.4843671622263; -530/1000
Check failed for (fp64): alpha = -3.323805027498; diff1 = 1.33226762955019e-14; diff2 = 10.8544583274839; -529/1000
Check failed for (fp64): alpha = -3.31752184219082; diff1 = 4.44089209850063e-15; diff2 = 11.2506813707134; -528/1000
Check failed for (fp64): alpha = -3.31123865688364; diff1 = 2.66453525910038e-15; diff2 = 11.6759401175051; -527/1000
