Check failed for (fp80): alpha = -4.49876067994058391735; diff1 = 4.33680868994201773603e-19; diff2 = 9.21920141194783932491; -716/1000
Check failed for (fp80): alpha = -4.46734475340468598515; diff1 = 2.16840434497100886801e-19; diff2 = 7.99777141344894166534; -711/1000
Check failed for (fp80): alpha = -4.44221201217596763956; diff1 = 2.16840434497100886801e-19; diff2 = 7.2215548542293167833; -707/1000
Check failed for (fp80): alpha = -4.42336245625442888016; diff1 = 2.16840434497100886801e-19; diff2 = 6.72601409961438217663; -704/1000
Check failed for (fp80): alpha = -4.40451290033289012031; diff1 = 2.16840434497100886801e-19; diff2 = 6.28956056944832849268; -701/1000
Check failed for (fp80): alpha = -4.3982297150257105337; diff1 = 2.16840434497100886801e-19; diff2 = 6.15536707435050680238; -700/1000
Check failed for (fp80): alpha = -4.37938015910417177429; diff1 = 2.16840434497100886801e-19; diff2 = 5.78218221191762560014; -697/1000
Check failed for (fp80): alpha = -4.3668137884898126015; diff1 = 2.16840434497100886801e-19; diff2 = 5.55521370782994977806; -695/1000
Check failed for (fp80): alpha = -4.3353978619539146693; diff1 = 2.16840434497100886801e-19; diff2 = 5.05142337889460999248; -690/1000
Check failed for (fp80): alpha = -4.27256600888211880446; diff1 = 2.16840434497100886801e-19; diff2 = 4.25021634631440552426; -680/1000
Check failed for (fp80): alpha = -4.24743326765340045844; diff1 = 1.08420217248550443401e-19; diff2 = 3.98695308868022653967; -676/1000
Check failed for (fp80): alpha = -4.23486689703904128565; diff1 = 1.08420217248550443401e-19; diff2 = 3.8649928985683639506; -674/1000
Check failed for (fp80): alpha = -4.22230052642468211242; diff1 = 1.08420217248550443401e-19; diff2 = 3.74881604398857071593; -672/1000
Check failed for (fp80): alpha = -4.21601734111750252581; diff1 = 1.08420217248550443401e-19; diff2 = 3.69275838611077309587; -671/1000
Check failed for (fp80): alpha = -4.19088459988878418022; diff1 = 1.08420217248550443401e-19; diff2 = 3.4809178029263649185; -667/1000
Check failed for (fp80): alpha = -4.18460141458160459361; diff1 = 1.08420217248550443401e-19; diff2 = 3.43083247311412429343; -666/1000
Check failed for (fp80): alpha = -4.17203504396724542081; diff1 = 1.08420217248550443401e-19; diff2 = 3.33382875880554814746; -664/1000
Check failed for (fp80): alpha = -4.1657518586600658342; diff1 = 2.16840434497100886801e-19; diff2 = 3.28683697774442365783; -663/1000
Check failed for (fp80): alpha = -4.12176956150980872877; diff1 = 1.08420217248550443401e-19; diff2 = 2.98305716610032456036; -656/1000
Check failed for (fp80): alpha = -4.09663682028109038319; diff1 = 1.08420217248550443401e-19; diff2 = 2.82679304572450476899; -652/1000
Check failed for (fp80): alpha = -4.09035363497391079657; diff1 = 1.08420217248550443401e-19; diff2 = 2.78945406794818364727; -651/1000
Check failed for (fp80): alpha = -4.07150407905237203716; diff1 = 1.08420217248550443401e-19; diff2 = 2.68125206373724189572; -648/1000
Check failed for (fp80): alpha = -4.06522089374519245098; diff1 = 1.08420217248550443401e-19; diff2 = 2.64639359784448083973; -647/1000
Check failed for (fp80): alpha = -4.05893770843801286437; diff1 = 1.08420217248550443401e-19; diff2 = 2.61210997924863248419; -646/1000
Check failed for (fp80): alpha = -4.05265452313083327776; diff1 = 1.08420217248550443401e-19; diff2 = 2.57838446357013334172; -645/1000
Check failed for (fp80): alpha = -4.03380496720929451792; diff1 = 1.08420217248550443401e-19; diff2 = 2.48039832814107165208; -642/1000
Check failed for (fp80): alpha = -4.00867222598057617233; diff1 = 1.08420217248550443401e-19; diff2 = 2.35665091211626171559; -638/1000
Check failed for (fp80): alpha = -3.99610585536621699954; diff1 = 1.08420217248550443401e-19; diff2 = 2.29749541206889823942; -636/1000
Check failed for (fp80): alpha = -3.98353948475185782653; diff1 = 1.08420217248550443401e-19; diff2 = 2.24002358485848180811; -634/1000
Check failed for (fp80): alpha = -3.97725629944467823991; diff1 = 1.08420217248550443401e-19; diff2 = 2.21189123096679220431; -633/1000
Check failed for (fp80): alpha = -3.9709731141374986533; diff1 = 1.08420217248550443401e-19; diff2 = 2.18414715970975397297; -632/1000
Check failed for (fp80): alpha = -3.96468992883031906712; diff1 = 1.08420217248550443401e-19; diff2 = 2.15678124167951387139; -631/1000
Check failed for (fp80): alpha = -3.9584067435231394805; diff1 = 1.08420217248550443401e-19; diff2 = 2.12978368064958373425; -630/1000
Check failed for (fp80): alpha = -3.95212355821595989389; diff1 = 1.08420217248550443401e-19; diff2 = 2.1031449997580708767; -629/1000
Check failed for (fp80): alpha = -3.94584037290878030771; diff1 = 1.08420217248550443401e-19; diff2 = 2.07685602836958282079; -628/1000
Check failed for (fp80): alpha = -3.9395571876016007211; diff1 = 1.08420217248550443401e-19; diff2 = 2.05090788957716804253; -627/1000
Check failed for (fp80): alpha = -3.9332740022944211347; diff1 = 1.08420217248550443401e-19; diff2 = 2.02529198830814691906; -626/1000
Check failed for (fp80): alpha = -3.90185807575852320228; diff1 = 5.42101086242752217004e-20; diff2 = 1.90191356300213645805; -621/1000
Check failed for (fp80): alpha = -3.89557489045134361589; diff1 = 5.42101086242752217004e-20; diff2 = 1.8781250116349847059; -620/1000
Check failed for (fp80): alpha = -3.88929170514416402927; diff1 = 5.42101086242752217004e-20; diff2 = 1.85461553666200633394; -619/1000
Check failed for (fp80): alpha = -3.87672533452980485626; diff1 = 5.42101086242752217004e-20; diff2 = 1.80840718747804159844; -617/1000
Check failed for (fp80): alpha = -3.86415896391544568347; diff1 = 5.42101086242752217004e-20; diff2 = 1.76323718472637822985; -615/1000
Check failed for (fp80): alpha = -3.82645985207236816444; diff1 = 5.42101086242752217004e-20; diff2 = 1.63348653974539479296; -609/1000
Check failed for (fp80): alpha = -3.82017666676518857826; diff1 = 5.42101086242752217004e-20; diff2 = 1.6126442090443554023; -608/1000
Check failed for (fp80): alpha = -3.81389348145800899164; diff1 = 5.42101086242752217004e-20; diff2 = 1.59201200236271921931; -607/1000
Check failed for (fp80): alpha = -3.80761029615082940503; diff1 = 5.42101086242752217004e-20; diff2 = 1.57158515332953602705; -606/1000
Check failed for (fp80): alpha = -3.80132711084364981863; diff1 = 1.08420217248550443401e-19; diff2 = 1.55135902209922620781; -605/1000
Check failed for (fp80): alpha = -3.78876074022929064541; diff1 = 5.42101086242752217004e-20; diff2 = 1.5114909600968078696; -603/1000
Check failed for (fp80): alpha = -3.77619436961493147261; diff1 = 5.42101086242752217004e-20; diff2 = 1.47237306545816533593; -601/1000
Check failed for (fp80): alpha = -3.76991118430775188643; diff1 = 5.42101086242752217004e-20; diff2 = 1.45308505601072177255; -600/1000
Check failed for (fp80): alpha = -3.7573448136933927132; diff1 = 5.42101086242752217004e-20; diff2 = 1.41503107418845486807; -598/1000
Check failed for (fp80): alpha = -3.75106162838621312681; diff1 = 5.42101086242752217004e-20; diff2 = 1.39625746207424722141; -597/1000
Check failed for (fp80): alpha = -3.74477844307903354019; diff1 = 5.42101086242752217004e-20; diff2 = 1.37764783266710364828; -596/1000
Check failed for (fp80): alpha = -3.7322120724646743674; diff1 = 5.42101086242752217004e-20; diff2 = 1.34090625062646693179; -594/1000
Check failed for (fp80): alpha = -3.70079614592877643498; diff1 = 5.42101086242752217004e-20; diff2 = 1.25168100223735331779; -589/1000
Check failed for (fp80): alpha = -3.69451296062159684837; diff1 = 5.42101086242752217004e-20; diff2 = 1.23426095279428055512; -588/1000
Check failed for (fp80): alpha = -3.68822977531441726219; diff1 = 1.08420217248550443401e-19; diff2 = 1.21697547736151523326; -587/1000
Check failed for (fp80): alpha = -3.65053066347133974316; diff1 = 5.42101086242752217004e-20; diff2 = 1.11593054995451571227; -581/1000
Check failed for (fp80): alpha = -3.63168110754980098375; diff1 = 1.08420217248550443401e-19; diff2 = 1.06700354273563685343; -578/1000
Check failed for (fp80): alpha = -3.62539792224262139714; diff1 = 1.08420217248550443401e-19; diff2 = 1.05091420089357276977; -577/1000
Check failed for (fp80): alpha = -3.61911473693544181074; diff1 = 5.42101086242752217004e-20; diff2 = 1.03493075019145421272; -576/1000
Check failed for (fp80): alpha = -3.61283155162826222413; diff1 = 1.08420217248550443401e-19; diff2 = 1.01905089898885762092; -575/1000
Check failed for (fp80): alpha = -3.60026518101390305133; diff1 = 5.42101086242752217004e-20; diff2 = 0.987593056472946847005; -573/1000
Check failed for (fp80): alpha = -3.59398199570672346472; diff1 = 8.13151629364128325506e-20; diff2 = 0.972010705718402677651; -572/1000
Check failed for (fp80): alpha = -3.58141562509236429193; diff1 = 1.08420217248550443401e-19; diff2 = 0.941128562424502986472; -570/1000
