Check failed for (fp32): x = -0.8105309; diff = 1.525879e-05; -129/1000
Check failed for (fp32): x = -0.8042478; diff = 1.907349e-06; -128/1000
Check failed for (fp32): x = -0.7979646; diff = 4.577637e-05; -127/1000
Check failed for (fp32): x = -0.7916814; diff = 0.0003204346; -126/1000
Check failed for (fp32): x = -0.7853982; diff = inf; -125/1000
Check failed for (fp32): x = -0.779115; diff = 0.0002365112; -124/1000
Check failed for (fp32): x = -0.7728319; diff = 3.814697e-06; -123/1000
Check failed for (fp32): x = -0.7665486; diff = 3.814697e-06; -122/1000
Check failed for (fp32): x = -0.7602654; diff = 5.722046e-06; -121/1000
Check failed for (fp32): x = -0.7539822; diff = 2.861023e-06; -120/1000
Check failed for (fp32): x = -0.7476991; diff = 8.583069e-06; -119/1000
Check failed for (fp32): x = -0.7351327; diff = 9.536743e-07; -117/1000
Check failed for (fp32): x = -0.7288495; diff = 2.861023e-06; -116/1000
Check failed for (fp32): x = -0.7225664; diff = 4.768372e-07; -115/1000
Check failed for (fp32): x = -0.7099999; diff = 4.768372e-07; -113/1000
Check failed for (fp32): x = -0.7037168; diff = 4.768372e-07; -112/1000
Check failed for (fp32): x = -0.6974336; diff = 9.536743e-07; -111/1000
Check failed for (fp32): x = -0.6911504; diff = 1.430511e-06; -110/1000
Check failed for (fp32): x = -0.6848672; diff = 9.536743e-07; -109/1000
Check failed for (fp32): x = -0.6723009; diff = 4.768372e-07; -107/1000
Check failed for (fp32): x = -0.6660177; diff = 4.768372e-07; -106/1000
Check failed for (fp32): x = -0.6597344; diff = 2.384186e-07; -105/1000
Check failed for (fp32): x = -0.6408849; diff = 4.768372e-07; -102/1000
Check failed for (fp32): x = -0.6283185; diff = 2.384186e-07; -100/1000
Check failed for (fp32): x = -0.6220354; diff = 2.384186e-07; -99/1000
Check failed for (fp32): x = -0.6157522; diff = 2.384186e-07; -98/1000
Check failed for (fp32): x = -0.6031858; diff = 2.384186e-07; -96/1000
Check failed for (fp32): x = -0.5969026; diff = 2.384186e-07; -95/1000
Check failed for (fp32): x = -0.5906194; diff = 4.768372e-07; -94/1000
Check failed for (fp32): x = -0.5592035; diff = 2.384186e-07; -89/1000
Check failed for (fp32): x = -0.5529203; diff = 1.192093e-07; -88/1000
Check failed for (fp32): x = -0.5466371; diff = 1.192093e-07; -87/1000
Check failed for (fp32): x = -0.5340708; diff = 2.384186e-07; -85/1000
Check failed for (fp32): x = -0.5277876; diff = 1.192093e-07; -84/1000
Check failed for (fp32): x = -0.5215044; diff = 1.192093e-07; -83/1000
