Check failed for (fp128): x = -1.313185729200533573677384934210832228e+00; diff = 3.851859888774471706111955885169854637e-34; -209/1000
Check failed for (fp128): x = -1.300619358586174400723534360677714234e+00; diff = 3.851859888774471706111955885169854637e-34; -207/1000
Check failed for (fp128): x = -1.288052987971815227769683787144596047e+00; diff = 1.925929944387235853055977942584927319e-34; -205/1000
Check failed for (fp128): x = -1.275486617357456054815833213611478245e+00; diff = 1.925929944387235853055977942584927319e-34; -203/1000
Check failed for (fp128): x = -1.269203432050276468338907926844919152e+00; diff = 1.925929944387235853055977942584927319e-34; -202/1000
Check failed for (fp128): x = -1.262920246743096881861982640078360058e+00; diff = 1.925929944387235853055977942584927319e-34; -201/1000
Check failed for (fp128): x = -1.237787505514378535954281493012124070e+00; diff = 1.925929944387235853055977942584927319e-34; -197/1000
Check failed for (fp128): x = -1.231504320207198949477356206245565169e+00; diff = 1.925929944387235853055977942584927319e-34; -196/1000
Check failed for (fp128): x = -1.212654764285660190046580345945888081e+00; diff = 1.925929944387235853055977942584927319e-34; -193/1000
Check failed for (fp128): x = -1.193805208364121430615804485646210994e+00; diff = 1.925929944387235853055977942584927319e-34; -190/1000
Check failed for (fp128): x = -1.168672467135403084708103338579975005e+00; diff = 1.925929944387235853055977942584927319e-34; -186/1000
Check failed for (fp128): x = -1.162389281828223498231178051813416104e+00; diff = 1.925929944387235853055977942584927319e-34; -185/1000
Check failed for (fp128): x = -1.124690169985145979369626331214061929e+00; diff = 1.925929944387235853055977942584927319e-34; -179/1000
Check failed for (fp128): x = -9.864600932271950768772700223497638961e-01; diff = 1.925929944387235853055977942584927319e-34; -157/1000
Check failed for (fp128): x = -5.403539364174444370155746619240744265e-01; diff = 1.925929944387235853055977942584927319e-34; -86/1000
Check failed for (fp128): x = -4.523893421169302263386206471922484186e-01; diff = 1.925929944387235853055977942584927319e-34; -72/1000
Check failed for (fp128): x = -4.084070449666731210001436398263353906e-01; diff = 1.925929944387235853055977942584927319e-34; -65/1000
Check failed for (fp128): x = -3.895574890451343615693677795266583511e-01; diff = 1.925929944387235853055977942584927319e-34; -62/1000
Check failed for (fp128): x = -3.644247478164160156616666324604223145e-01; diff = 1.925929944387235853055977942584927319e-34; -58/1000
Check failed for (fp128): x = -3.581415625092364291847413456938633174e-01; diff = 1.925929944387235853055977942584927319e-34; -57/1000
Check failed for (fp128): x = -3.518583772020568427078160589273043203e-01; diff = 1.925929944387235853055977942584927319e-34; -56/1000
Check failed for (fp128): x = -3.330088212805180832770401986276272807e-01; diff = 1.925929944387235853055977942584927319e-34; -53/1000
Check failed for (fp128): x = -3.078760800517997373693390515613912923e-01; diff = 1.925929944387235853055977942584927319e-34; -49/1000
Check failed for (fp128): x = -2.890265241302609779385631912617142527e-01; diff = 1.925929944387235853055977942584927319e-34; -46/1000
Check failed for (fp128): x = -2.827433388230813914616379044951552556e-01; diff = 1.925929944387235853055977942584927319e-34; -45/1000
Check failed for (fp128): x = -2.764601535159018049847126177285962585e-01; diff = 1.925929944387235853055977942584927319e-34; -44/1000
Check failed for (fp128): x = -2.701769682087222185077873309620372132e-01; diff = 1.925929944387235853055977942584927319e-34; -43/1000
