Check failed for (fp64): alpha = -4.96999957797905; beta = -1.24249989449476; diff = 8.88178419700125e-16; -791/1000
Check failed for (fp64): alpha = -4.95743320736469; beta = -1.23935830184117; diff = 8.88178419700125e-16; -789/1000
Check failed for (fp64): alpha = -4.95115002205751; beta = -1.23778750551438; diff = 1.77635683940025e-15; -788/1000
Check failed for (fp64): alpha = -4.94486683675034; beta = -1.23621670918758; diff = 2.66453525910038e-15; -787/1000
Check failed for (fp64): alpha = -4.93858365144315; beta = -1.23464591286079; diff = 8.88178419700125e-16; -786/1000
Check failed for (fp64): alpha = -4.93230046613598; beta = -1.23307511653399; diff = 8.88178419700125e-16; -785/1000
Check failed for (fp64): alpha = -4.9260172808288; beta = -1.2315043202072; diff = 2.66453525910038e-15; -784/1000
Check failed for (fp64): alpha = -4.91973409552162; beta = -1.2299335238804; diff = 2.66453525910038e-15; -783/1000
Check failed for (fp64): alpha = -4.90716772490726; beta = -1.22679193122681; diff = 8.88178419700125e-16; -781/1000
Check failed for (fp64): alpha = -4.90088453960008; beta = -1.22522113490002; diff = 3.5527136788005e-15; -780/1000
Check failed for (fp64): alpha = -4.8946013542929; beta = -1.22365033857322; diff = 3.5527136788005e-15; -779/1000
Check failed for (fp64): alpha = -4.87575179837136; beta = -1.21893794959284; diff = 1.77635683940025e-15; -776/1000
Check failed for (fp64): alpha = -4.86946861306418; beta = -1.21736715326604; diff = 5.32907051820075e-15; -775/1000
Check failed for (fp64): alpha = -4.863185427757; beta = -1.21579635693925; diff = 3.5527136788005e-15; -774/1000
Check failed for (fp64): alpha = -4.85690224244982; beta = -1.21422556061246; diff = 1.77635683940025e-15; -773/1000
Check failed for (fp64): alpha = -4.84433587183546; beta = -1.21108396795887; diff = 5.32907051820075e-15; -771/1000
Check failed for (fp64): alpha = -4.83805268652828; beta = -1.20951317163207; diff = 5.32907051820075e-15; -770/1000
Check failed for (fp64): alpha = -4.8317695012211; beta = -1.20794237530528; diff = 1.77635683940025e-15; -769/1000
Check failed for (fp64): alpha = -4.82548631591392; beta = -1.20637157897848; diff = 1.77635683940025e-15; -768/1000
Check failed for (fp64): alpha = -4.81920313060674; beta = -1.20480078265169; diff = 1.77635683940025e-15; -767/1000
Check failed for (fp64): alpha = -4.81291994529956; beta = -1.20322998632489; diff = 3.5527136788005e-15; -766/1000
Check failed for (fp64): alpha = -4.80663675999238; beta = -1.2016591899981; diff = 7.105427357601e-15; -765/1000
Check failed for (fp64): alpha = -4.8003535746852; beta = -1.2000883936713; diff = 1.77635683940025e-15; -764/1000
Check failed for (fp64): alpha = -4.79407038937802; beta = -1.19851759734451; diff = 3.5527136788005e-15; -763/1000
Check failed for (fp64): alpha = -4.78778720407084; beta = -1.19694680101771; diff = 8.88178419700125e-15; -762/1000
Check failed for (fp64): alpha = -4.78150401876367; beta = -1.19537600469092; diff = 7.105427357601e-15; -761/1000
Check failed for (fp64): alpha = -4.76893764814931; beta = -1.19223441203733; diff = 3.5527136788005e-15; -759/1000
Check failed for (fp64): alpha = -4.75637127753495; beta = -1.18909281938374; diff = 1.77635683940025e-14; -757/1000
Check failed for (fp64): alpha = -4.75008809222777; beta = -1.18752202305694; diff = 1.4210854715202e-14; -756/1000
Check failed for (fp64): alpha = -4.74380490692059; beta = -1.18595122673015; diff = 7.105427357601e-15; -755/1000
Check failed for (fp64): alpha = -4.73123853630623; beta = -1.18280963407656; diff = 2.8421709430404e-14; -753/1000
Check failed for (fp64): alpha = -4.72495535099905; beta = -1.18123883774976; diff = 5.6843418860808e-14; -752/1000
Check failed for (fp64): alpha = -4.71238898038469; beta = -1.17809724509617; diff = 179791729491; -750/1000
Check failed for (fp64): alpha = -4.70610579507751; beta = -1.17652644876938; diff = 2.8421709430404e-14; -749/1000
