Check failed for (fp128): alpha = -1.407433508808227370831264235709217281e+00; diff1 = 3.370377402677662742847961399523622807e-34; diff2 = 3.252743303897672050133728329465960648e-01; -224/1000
Check failed for (fp128): alpha = -1.394867138193868197877413662176099094e+00; diff1 = 1.925929944387235853055977942584927319e-34; diff2 = 3.500461179505520951632042168488882412e-01; -222/1000
Check failed for (fp128): alpha = -1.388583952886688611400488375409540193e+00; diff1 = 3.370377402677662742847961399523622807e-34; diff2 = 3.624115272542747127394331963240160236e-01; -221/1000
Check failed for (fp128): alpha = -1.382300767579509024923563088642981293e+00; diff1 = 2.407412430484044816319972428231159148e-34; diff2 = 3.747626291714492610851014688945826689e-01; -220/1000
Check failed for (fp128): alpha = -1.338318470429251919585086081277068216e+00; diff1 = 2.166671187435640334687975185408043233e-34; diff2 = 4.607788533531811758558016595811950572e-01; -213/1000
Check failed for (fp128): alpha = -1.294336173278994814246609073911155140e+00; diff1 = 1.925929944387235853055977942584927319e-34; diff2 = 5.459038710346504661778047612555998413e-01; -206/1000
Check failed for (fp128): alpha = -1.281769802664635641292758500378037146e+00; diff1 = 2.407412430484044816319972428231159148e-34; diff2 = 5.700385249399522628044032712644710174e-01; -204/1000
Check failed for (fp128): alpha = -1.269203432050276468338907926844919152e+00; diff1 = 1.925929944387235853055977942584927319e-34; diff2 = 5.940831631540698228079316739650375115e-01; -202/1000
Check failed for (fp128): alpha = 1.269203432050276468338907926844919152e+00; diff1 = 1.925929944387235853055977942584927319e-34; diff2 = 5.940831631540698228079316739650375115e-01; 202/1000
Check failed for (fp128): alpha = 1.281769802664635641292758500378037146e+00; diff1 = 2.407412430484044816319972428231159148e-34; diff2 = 5.700385249399522628044032712644710174e-01; 204/1000
Check failed for (fp128): alpha = 1.294336173278994814246609073911155140e+00; diff1 = 1.925929944387235853055977942584927319e-34; diff2 = 5.459038710346504661778047612555998413e-01; 206/1000
Check failed for (fp128): alpha = 1.338318470429251919585086081277068216e+00; diff1 = 2.166671187435640334687975185408043233e-34; diff2 = 4.607788533531811758558016595811950572e-01; 213/1000
Check failed for (fp128): alpha = 1.382300767579509024923563088642981293e+00; diff1 = 2.407412430484044816319972428231159148e-34; diff2 = 3.747626291714492610851014688945826689e-01; 220/1000
Check failed for (fp128): alpha = 1.388583952886688611400488375409540193e+00; diff1 = 3.370377402677662742847961399523622807e-34; diff2 = 3.624115272542747127394331963240160236e-01; 221/1000
Check failed for (fp128): alpha = 1.394867138193868197877413662176099094e+00; diff1 = 1.925929944387235853055977942584927319e-34; diff2 = 3.500461179505520951632042168488882412e-01; 222/1000
Check failed for (fp128): alpha = 1.407433508808227370831264235709217281e+00; diff1 = 3.370377402677662742847961399523622807e-34; diff2 = 3.252743303897672050133728329465960648e-01; 224/1000
Check failed for (fp128): alpha = 1.413716694115406957308189522475776374e+00; diff1 = 2.407412430484044816319972428231159148e-34; diff2 = 3.128689300804617380202106389343333942e-01; 225/1000
Check failed for (fp128): alpha = 1.419999879422586543785114809242335275e+00; diff1 = 2.166671187435640334687975185408043233e-34; diff2 = 3.004511782415141100334551500245115932e-01; 226/1000
Check failed for (fp128): alpha = 1.426283064729766130262040096008894176e+00; diff1 = 3.611118645726067224479958642346738722e-34; diff2 = 2.880215651045043258683198602970020148e-01; 227/1000
Check failed for (fp128): alpha = 1.438849435344125303215890669542012363e+00; diff1 = 4.574083617919685151007947613639202382e-34; diff2 = 2.631287181845650071383585603709530362e-01; 229/1000
Check failed for (fp128): alpha = 1.476548547187202822077442390141366153e+00; diff1 = 1.925929944387235853055977942584927319e-34; diff2 = 1.882166266370286369465336977709523876e-01; 235/1000
Check failed for (fp128): alpha = 1.489114917801561995031292963674484340e+00; diff1 = 4.935195482492291873455943477873876254e-34; diff2 = 1.631812231363151048563158314529220064e-01; 237/1000
Check failed for (fp128): alpha = 1.514247659030280340938994110740720328e+00; diff1 = 4.935195482492291873455943477873876254e-34; diff2 = 1.130370689640490518293635039568108718e-01; 241/1000
Check failed for (fp128): alpha = 1.520530844337459927415919397507279422e+00; diff1 = 5.537048590113303077535936584931666041e-34; diff2 = 1.004886363595391144285794205719855067e-01; 242/1000
Check failed for (fp128): alpha = 1.526814029644639513892844684273838323e+00; diff1 = 1.125465311251290951629587110198066902e-33; diff2 = 8.793623663572980785408347295358187103e-02; 243/1000
Check failed for (fp128): alpha = 1.533097214951819100369769971040397223e+00; diff1 = 5.115751414778595234679941409991213190e-34; diff2 = 7.538036533986907715278845481170102861e-02; 244/1000
Check failed for (fp128): alpha = 1.545663585566178273323620544573515410e+00; diff1 = 1.287965650308963976731185249103670144e-33; diff2 = 5.026019088667495768793241077622482164e-02; 246/1000
Check failed for (fp128): alpha = 1.551946770873357859800545831340074504e+00; diff1 = 1.107409718022660615507187316986333208e-33; diff2 = 3.769687943081635291289667995492326461e-02; 247/1000
Check failed for (fp128): alpha = 1.558229956180537446277471118106633404e+00; diff1 = 3.475701696511339703561960193258736020e-33; diff2 = 2.513207976670521582854917829758582685e-02; 248/1000
Check failed for (fp128): alpha = 1.564513141487717032754396404873192305e+00; diff1 = 9.072935597386743901505896088896181040e-34; diff2 = 1.256628793111790249947062031591891193e-02; 249/1000
Check failed for (fp128): alpha = 1.577079512102076205708246978406310300e+00; diff1 = 1.256628793111790249947062031591863207e-02; diff2 = 6.274318646949041802533928141077458530e-34; 251/1000
Check failed for (fp128): alpha = 1.583362697409255792185172265172869393e+00; diff1 = 2.513207976670521582854917829758573959e-02; diff2 = 3.388432995906293078970361192735356501e-33; 252/1000
Check failed for (fp128): alpha = 1.589645882716435378662097551939428294e+00; diff1 = 3.769687943081635291289667995492318035e-02; diff2 = 1.023150282955719046935988281998242638e-33; 253/1000
Check failed for (fp128): alpha = 1.595929068023614965139022838705987580e+00; diff1 = 5.026019088667495768793241077622492997e-02; diff2 = 1.179632090937181959996786489833267983e-33; 254/1000
Check failed for (fp128): alpha = 1.602212253330794551615948125472546481e+00; diff1 = 6.282151815625658767836734763565906299e-02; diff2 = 2.648153673532449297951969671054275063e-34; 255/1000
Check failed for (fp128): alpha = 1.608495438637974138092873412239105381e+00; diff1 = 7.538036533986907715278845481170076379e-02; diff2 = 7.884275709835246773447909702457046210e-34; 256/1000
Check failed for (fp128): alpha = 1.614778623945153724569798699005664475e+00; diff1 = 8.793623663572980785408347295358177474e-02; diff2 = 1.041205876184349383058388075209976332e-33; 257/1000
Check failed for (fp128): alpha = 1.621061809252333311046723985772223376e+00; diff1 = 1.004886363595391144285794205719854225e-01; diff2 = 6.379642940782718763247926934812571743e-34; 258/1000
Check failed for (fp128): alpha = 1.627344994559512897523649272538782277e+00; diff1 = 1.130370689640490518293635039568105949e-01; diff2 = 7.703719777548943412223911770339709274e-34; 259/1000
Check failed for (fp128): alpha = 1.633628179866692484000574559305341563e+00; diff1 = 1.255810390586267521523564491312626358e-01; diff2 = 2.527783052008247057135971049642717106e-34; 260/1000
Check failed for (fp128): alpha = 1.652477735788231243431350419605018458e+00; diff1 = 1.631812231363151048563158314529219101e-01; diff2 = 3.972230510298673946927954506581412594e-34; 263/1000
Check failed for (fp128): alpha = 1.658760921095410829908275706371577358e+00; diff1 = 1.757023931014863517045574886959594334e-01; diff2 = 4.333342374871280669375950370816086467e-34; 264/1000
Check failed for (fp128): alpha = 1.665044106402590416385200993138136644e+00; diff1 = 1.882166266370286369465336977709522913e-01; diff2 = 2.888894916580853779583966913877390978e-34; 265/1000
Check failed for (fp128): alpha = 1.677610477016949589339051566671254639e+00; diff1 = 2.132223085505198277946445558347221861e-01; diff2 = 2.768524295056651538767968292465833020e-34; 267/1000
Check failed for (fp128): alpha = 1.690176847631308762292902140204372440e+00; diff1 = 2.381943201897394763244893679130948584e-01; diff2 = 3.370377402677662742847961399523622807e-34; 269/1000
Check failed for (fp128): alpha = 1.715309588860027108200603287270608621e+00; diff1 = 2.880215651045043258683198602970019185e-01; diff2 = 2.648153673532449297951969671054275063e-34; 273/1000
Check failed for (fp128): alpha = 1.721592774167206694677528574037167522e+00; diff1 = 3.004511782415141100334551500245114969e-01; diff2 = 3.129636159629258261215964156700506893e-34; 274/1000
Check failed for (fp128): alpha = 1.727875959474386281154453860803726616e+00; diff1 = 3.128689300804617380202106389343341165e-01; diff2 = 2.888894916580853779583966913877390978e-34; 275/1000
Check failed for (fp128): alpha = 1.740442330088745454108304434336844417e+00; diff1 = 3.376668894254677472639701039881375632e-01; diff2 = 2.407412430484044816319972428231159148e-34; 277/1000
Check failed for (fp128): alpha = 1.753008700703104627062155007869962604e+00; diff1 = 3.624115272542747127394331963240159273e-01; diff2 = 2.648153673532449297951969671054275063e-34; 279/1000
Check failed for (fp128): alpha = 1.759291886010284213539080294636521698e+00; diff1 = 3.747626291714492610851014688945832948e-01; diff2 = 1.925929944387235853055977942584927319e-34; 280/1000
Check failed for (fp128): alpha = 1.765575071317463800016005581403080598e+00; diff1 = 3.870989361017205240407168845510410486e-01; diff2 = 2.166671187435640334687975185408043233e-34; 281/1000
Check failed for (fp128): alpha = 1.796990997853361732400632015235875680e+00; diff1 = 4.485415218987623703448819930593393915e-01; diff2 = 1.925929944387235853055977942584927319e-34; 286/1000
Check failed for (fp128): alpha = 1.828406924389259664785258449068670762e+00; diff1 = 5.095414513667643444079887984827202910e-01; diff2 = 1.925929944387235853055977942584927319e-34; 291/1000
Check failed for (fp128): alpha = 1.897521962768235116031436603500819634e+00; diff1 = 6.418872196144189797735044111323730452e-01; diff2 = 1.925929944387235853055977942584927319e-34; 302/1000
Check failed for (fp128): alpha = 4.429645641561608466232327170424099037e+00; diff1 = 5.579822120784585037065017901168986071e-01; diff2 = 1.925929944387235853055977942584927319e-34; 705/1000
Check failed for (fp128): alpha = 4.442212012175967639186177743957216839e+00; diff1 = 5.338039786407511272904753248742439317e-01; diff2 = 2.407412430484044816319972428231159148e-34; 707/1000
Check failed for (fp128): alpha = 4.454778382790326812140028317490334640e+00; diff1 = 5.095414513667643444079887984827210613e-01; diff2 = 1.925929944387235853055977942584927319e-34; 709/1000
Check failed for (fp128): alpha = 4.505043865247763503955430611622807388e+00; diff1 = 4.117252175397626470866196933869756431e-01; diff2 = 2.648153673532449297951969671054275063e-34; 717/1000
Check failed for (fp128): alpha = 4.517610235862122676909281185155925189e+00; diff1 = 3.870989361017205240407168845510410486e-01; diff2 = 2.166671187435640334687975185408043233e-34; 719/1000
Check failed for (fp128): alpha = 4.523893421169302263386206471922484090e+00; diff1 = 3.747626291714492610851014688945832948e-01; diff2 = 2.166671187435640334687975185408043233e-34; 720/1000
Check failed for (fp128): alpha = 4.536459791783661436340057045455601892e+00; diff1 = 3.500461179505520951632042168488888671e-01; diff2 = 2.407412430484044816319972428231159148e-34; 722/1000
Check failed for (fp128): alpha = 4.542742977090841022816982332222160792e+00; diff1 = 3.376668894254677472639701039881386706e-01; diff2 = 2.888894916580853779583966913877390978e-34; 723/1000
Check failed for (fp128): alpha = 4.555309347705200195770832905755278594e+00; diff1 = 3.128689300804617380202106389343346942e-01; diff2 = 2.648153673532449297951969671054275063e-34; 725/1000
Check failed for (fp128): alpha = 4.561592533012379782247758192521837495e+00; diff1 = 3.004511782415141100334551500245128450e-01; diff2 = 2.166671187435640334687975185408043233e-34; 726/1000
Check failed for (fp128): alpha = 4.567875718319559368724683479288397166e+00; diff1 = 2.880215651045043258683198602970018703e-01; diff2 = 2.407412430484044816319972428231159148e-34; 727/1000
Check failed for (fp128): alpha = 4.574158903626738955201608766054956067e+00; diff1 = 2.755805813692761280385857582155132093e-01; diff2 = 1.925929944387235853055977942584927319e-34; 728/1000
