Check failed for (fp64): alpha = -4.23486689703904; diff1 = 1.03493075019145; diff2 = 1.11022302462516e-16; -674/1000
Check failed for (fp64): alpha = -4.22858371173186; diff1 = 1.05091420089357; diff2 = 1.11022302462516e-16; -673/1000
Check failed for (fp64): alpha = -4.22230052642468; diff1 = 1.06700354273564; diff2 = 1.11022302462516e-16; -672/1000
Check failed for (fp64): alpha = -4.2160173411175; diff1 = 1.08320111465858; diff2 = 1.11022302462516e-16; -671/1000
Check failed for (fp64): alpha = -4.20345097050314; diff1 = 1.11593054995451; diff2 = 1.11022302462516e-16; -669/1000
Check failed for (fp64): alpha = -4.19716778519596; diff1 = 1.13246734130406; diff2 = 1.11022302462516e-16; -668/1000
Check failed for (fp64): alpha = -4.19088459988878; diff1 = 1.14912222191436; diff2 = 2.22044604925031e-16; -667/1000
Check failed for (fp64): alpha = -4.17203504396725; diff1 = 1.19982167333428; diff2 = 1.11022302462516e-16; -664/1000
Check failed for (fp64): alpha = -4.16575185866007; diff1 = 1.21697547736151; diff2 = 2.22044604925031e-16; -663/1000
Check failed for (fp64): alpha = -4.15946867335289; diff1 = 1.23426095279428; diff2 = 2.22044604925031e-16; -662/1000
Check failed for (fp64): alpha = -4.14061911743135; diff1 = 1.28693676971692; diff2 = 1.11022302462516e-16; -659/1000
Check failed for (fp64): alpha = -4.12176956150981; diff1 = 1.34090625062647; diff2 = 2.22044604925031e-16; -656/1000
Check failed for (fp64): alpha = -4.11548637620263; diff1 = 1.35919859644905; diff2 = 1.11022302462516e-16; -655/1000
Check failed for (fp64): alpha = -4.10920319089545; diff1 = 1.3776478326671; diff2 = 1.11022302462516e-16; -654/1000
Check failed for (fp64): alpha = -4.10292000558827; diff1 = 1.39625746207425; diff2 = 1.11022302462516e-16; -653/1000
Check failed for (fp64): alpha = -4.07778726435955; diff1 = 1.47237306545816; diff2 = 1.11022302462516e-16; -649/1000
Check failed for (fp64): alpha = -4.05893770843801; diff1 = 1.53132909095604; diff2 = 1.11022302462516e-16; -646/1000
Check failed for (fp64): alpha = -4.05265452313083; diff1 = 1.55135902209923; diff2 = 1.11022302462516e-16; -645/1000
Check failed for (fp64): alpha = -4.04637133782365; diff1 = 1.57158515332954; diff2 = 1.11022302462516e-16; -644/1000
Check failed for (fp64): alpha = -4.03380496720929; diff1 = 1.61264420904435; diff2 = 2.22044604925031e-16; -642/1000
Check failed for (fp64): alpha = -4.02752178190211; diff1 = 1.6334865397454; diff2 = 1.11022302462516e-16; -641/1000
Check failed for (fp64): alpha = -4.02123859659494; diff1 = 1.65454389194495; diff2 = 1.11022302462516e-16; -640/1000
Check failed for (fp64): alpha = -4.01495541128776; diff1 = 1.6758212990098; diff2 = 1.11022302462516e-16; -639/1000
Check failed for (fp64): alpha = -4.0023890406734; diff1 = 1.71905712077515; diff2 = 1.11022302462516e-16; -637/1000
Check failed for (fp64): alpha = -3.98353948475186; diff1 = 1.78569548420746; diff2 = 2.22044604925031e-16; -634/1000
Check failed for (fp64): alpha = -3.9709731141375; diff1 = 1.83137843172232; diff2 = 1.11022302462516e-16; -632/1000
Check failed for (fp64): alpha = -3.96468992883032; diff1 = 1.85461553666201; diff2 = 1.11022302462516e-16; -631/1000
Check failed for (fp64): alpha = -3.95840674352314; diff1 = 1.87812501163499; diff2 = 2.22044604925031e-16; -630/1000
Check failed for (fp64): alpha = -3.95212355821596; diff1 = 1.90191356300214; diff2 = 2.22044604925031e-16; -629/1000
Check failed for (fp64): alpha = -3.9395571876016; diff1 = 1.9503557523613; diff2 = 1.11022302462516e-16; -627/1000
Check failed for (fp64): alpha = -3.93327400229442; diff1 = 1.97502385981463; diff2 = 2.22044604925031e-16; -626/1000
Check failed for (fp64): alpha = -3.92699081698724; diff1 = 2; diff2 = 2.22044604925031e-16; -625/1000
Check failed for (fp64): alpha = -3.92070763168006; diff1 = 2.02529198830815; diff2 = 2.22044604925031e-16; -624/1000
Check failed for (fp64): alpha = -3.89557489045134; diff1 = 2.12978368064958; diff2 = 2.22044604925031e-16; -620/1000
Check failed for (fp64): alpha = -3.88300851983698; diff1 = 2.18414715970975; diff2 = 2.22044604925031e-16; -618/1000
Check failed for (fp64): alpha = -3.85159259330109; diff1 = 2.32685694480957; diff2 = 2.22044604925031e-16; -613/1000
Check failed for (fp64): alpha = -3.83274303737955; diff1 = 2.41758470081922; diff2 = 2.22044604925031e-16; -610/1000
Check failed for (fp64): alpha = -3.82017666676519; diff1 = 2.48039832814107; diff2 = 2.22044604925031e-16; -608/1000
Check failed for (fp64): alpha = -3.80132711084365; diff1 = 2.57838446357013; diff2 = 2.22044604925031e-16; -605/1000
Check failed for (fp64): alpha = -3.79504392553647; diff1 = 2.61210997924863; diff2 = 2.22044604925031e-16; -604/1000
Check failed for (fp64): alpha = -3.78876074022929; diff1 = 2.64639359784448; diff2 = 2.22044604925031e-16; -603/1000
Check failed for (fp64): alpha = -3.76991118430775; diff1 = 2.75276384094235; diff2 = 2.22044604925031e-16; -600/1000
Check failed for (fp64): alpha = -3.75734481369339; diff1 = 2.82679304572451; diff2 = 2.22044604925031e-16; -598/1000
