Check failed for (fp32): alpha = -3.952124; diff1 = 1.901913; diff2 = 5.960464e-08; -629/1000
Check failed for (fp32): alpha = -3.945841; diff1 = 1.925987; diff2 = 5.960464e-08; -628/1000
Check failed for (fp32): alpha = -3.939557; diff1 = 1.950356; diff2 = 5.960464e-08; -627/1000
Check failed for (fp32): alpha = -3.908141; diff1 = 2.076857; diff2 = 1.192093e-07; -622/1000
Check failed for (fp32): alpha = -3.901858; diff1 = 2.103145; diff2 = 1.192093e-07; -621/1000
Check failed for (fp32): alpha = -3.895575; diff1 = 2.129783; diff2 = 1.192093e-07; -620/1000
Check failed for (fp32): alpha = -3.876725; diff1 = 2.211891; diff2 = 1.192093e-07; -617/1000
Check failed for (fp32): alpha = -3.864159; diff1 = 2.268554; diff2 = 1.192093e-07; -615/1000
Check failed for (fp32): alpha = -3.857876; diff1 = 2.297494; diff2 = 1.192093e-07; -614/1000
Check failed for (fp32): alpha = -3.845309; diff1 = 2.35665; diff2 = 1.192093e-07; -612/1000
Check failed for (fp32): alpha = -3.82646; diff1 = 2.448749; diff2 = 1.192093e-07; -609/1000
Check failed for (fp32): alpha = -3.820177; diff1 = 2.480399; diff2 = 1.192093e-07; -608/1000
Check failed for (fp32): alpha = -3.807611; diff1 = 2.5452; diff2 = 1.192093e-07; -606/1000
Check failed for (fp32): alpha = -3.801327; diff1 = 2.578384; diff2 = 1.192093e-07; -605/1000
Check failed for (fp32): alpha = -3.769912; diff1 = 2.752762; diff2 = 1.192093e-07; -600/1000
Check failed for (fp32): alpha = -3.751062; diff1 = 2.864801; diff2 = 1.192093e-07; -597/1000
Check failed for (fp32): alpha = -3.732212; diff1 = 2.983057; diff2 = 1.192093e-07; -594/1000
Check failed for (fp32): alpha = -3.713363; diff1 = 3.108155; diff2 = 2.384186e-07; -591/1000
Check failed for (fp32): alpha = -3.707079; diff1 = 3.151497; diff2 = 1.192093e-07; -590/1000
Check failed for (fp32): alpha = -3.700796; diff1 = 3.195703; diff2 = 2.384186e-07; -589/1000
Check failed for (fp32): alpha = -3.68823; diff1 = 3.286835; diff2 = 2.384186e-07; -587/1000
Check failed for (fp32): alpha = -3.681947; diff1 = 3.333827; diff2 = 2.384186e-07; -586/1000
Check failed for (fp32): alpha = -3.675663; diff1 = 3.381815; diff2 = 1.192093e-07; -585/1000
Check failed for (fp32): alpha = -3.663097; diff1 = 3.480917; diff2 = 1.192093e-07; -583/1000
Check failed for (fp32): alpha = -3.650531; diff1 = 3.584453; diff2 = 1.192093e-07; -581/1000
Check failed for (fp32): alpha = -3.644248; diff1 = 3.637986; diff2 = 1.192093e-07; -580/1000
Check failed for (fp32): alpha = -3.631681; diff1 = 3.748815; diff2 = 1.192093e-07; -578/1000
Check failed for (fp32): alpha = -3.625398; diff1 = 3.806208; diff2 = 1.192093e-07; -577/1000
Check failed for (fp32): alpha = -3.612832; diff1 = 3.92522; diff2 = 2.384186e-07; -575/1000
Check failed for (fp32): alpha = -3.600265; diff1 = 4.05025; diff2 = 2.384186e-07; -573/1000
Check failed for (fp32): alpha = -3.56885; diff1 = 4.392658; diff2 = 2.384186e-07; -568/1000
Check failed for (fp32): alpha = -3.562566; diff1 = 4.466872; diff2 = 2.384186e-07; -567/1000
Check failed for (fp32): alpha = -3.543717; diff1 = 4.702572; diff2 = 2.384186e-07; -564/1000
Check failed for (fp32): alpha = -3.518584; diff1 = 5.051423; diff2 = 2.384186e-07; -560/1000
Check failed for (fp32): alpha = -3.512301; diff1 = 5.145648; diff2 = 2.384186e-07; -559/1000
Check failed for (fp32): alpha = -3.455752; diff1 = 6.155362; diff2 = 2.384186e-07; -550/1000
Check failed for (fp32): alpha = -3.449469; diff1 = 6.289553; diff2 = 2.384186e-07; -549/1000
Check failed for (fp32): alpha = -3.443186; diff1 = 6.429164; diff2 = 2.384186e-07; -548/1000
Check failed for (fp32): alpha = -3.436902; diff1 = 6.574525; diff2 = 2.384186e-07; -547/1000
Check failed for (fp32): alpha = -3.430619; diff1 = 6.726013; diff2 = 2.384186e-07; -546/1000
Check failed for (fp32): alpha = -3.405487; diff1 = 7.402051; diff2 = 4.768372e-07; -542/1000
Check failed for (fp32): alpha = -3.399203; diff1 = 7.591149; diff2 = 2.384186e-07; -541/1000
Check failed for (fp32): alpha = -3.39292; diff1 = 7.789479; diff2 = 2.384186e-07; -540/1000
Check failed for (fp32): alpha = -3.380354; diff1 = 8.216793; diff2 = 4.768372e-07; -538/1000
Check failed for (fp32): alpha = -3.336372; diff1 = 10.13787; diff2 = 4.768372e-07; -531/1000
Check failed for (fp32): alpha = -3.330088; diff1 = 10.48437; diff2 = 4.768372e-07; -530/1000
Check failed for (fp32): alpha = -3.323805; diff1 = 10.85445; diff2 = 4.768372e-07; -529/1000
Check failed for (fp32): alpha = -3.317522; diff1 = 11.25068; diff2 = 4.768372e-07; -528/1000
Check failed for (fp32): alpha = -3.311239; diff1 = 11.67593; diff2 = 4.768372e-07; -527/1000
Check failed for (fp32): alpha = -3.304956; diff1 = 12.13357; diff2 = 4.768372e-07; -526/1000
Check failed for (fp32): alpha = -3.298672; diff1 = 12.62751; diff2 = 4.768372e-07; -525/1000
Check failed for (fp32): alpha = -3.292389; diff1 = 13.16222; diff2 = 4.768372e-07; -524/1000
